Date,Close
4/4/2014,77.19
4/7/2014,74.79
4/8/2014,74.54
4/9/2014,75.11
4/10/2014,73.59
4/11/2014,72.52
4/14/2014,73.38
4/15/2014,73.74
4/16/2014,74.27
4/17/2014,74.03
4/21/2014,74
4/22/2014,74.84
4/23/2014,74.39
4/24/2014,74.16
4/25/2014,75.34
4/28/2014,74.69
4/29/2014,75.4
4/30/2014,75.75
5/1/2014,75.93
5/2/2014,75.29
5/5/2014,75.57
5/6/2014,74.67
5/7/2014,74.32
5/8/2014,74.62
5/9/2014,74.92
5/12/2014,76.11
5/13/2014,75.69
5/14/2014,74.99
5/15/2014,74.08
5/16/2014,75.51
5/19/2014,77.07
5/20/2014,76.84
5/21/2014,77.47
5/22/2014,78.32
5/23/2014,79.59
5/27/2014,80.14
5/28/2014,79.08
5/29/2014,79.11
5/30/2014,79.29
6/2/2014,79.43
6/3/2014,79.39
6/4/2014,79.3
6/5/2014,79.36
6/6/2014,80.03
6/9/2014,79.84
6/10/2014,79.16
6/11/2014,79.17
6/12/2014,78.91
6/13/2014,78.99
6/16/2014,78.91
6/17/2014,78.84
6/18/2014,79.33
6/19/2014,79.29
6/20/2014,79.5
6/23/2014,79.67
6/24/2014,80.55
6/25/2014,81.12
6/26/2014,80.96
6/27/2014,81.32
6/30/2014,80.53
7/1/2014,81.28
7/2/2014,81.3
7/3/2014,82.23
7/7/2014,81.22
7/8/2014,81.15
7/9/2014,81.06
7/10/2014,80.42
7/11/2014,80.45
7/14/2014,81.33
7/15/2014,81.17
7/16/2014,81.53
7/17/2014,80.78
7/18/2014,81.92
7/21/2014,81.43
7/22/2014,82.13
7/23/2014,82.03
7/24/2014,82.59
7/25/2014,82.64
7/28/2014,82.85
7/29/2014,82.68
7/30/2014,83.29
7/31/2014,81.97
8/1/2014,80.56
8/4/2014,81.02
8/5/2014,80.45
8/6/2014,80.96
8/7/2014,80.84
8/8/2014,81.38
8/11/2014,81.8
8/12/2014,82.03
8/13/2014,83.38
8/14/2014,83.81
8/15/2014,83.72
8/18/2014,84.43
8/19/2014,85.39
8/20/2014,85.27
8/21/2014,85.81
8/22/2014,83.57
8/25/2014,82.9
8/26/2014,82.64
8/27/2014,82.66
8/28/2014,83.36
8/29/2014,83.18
9/2/2014,82.88
9/3/2014,82.12
9/4/2014,82.26
9/5/2014,83.98
9/8/2014,84.16
9/9/2014,83.45
9/10/2014,84.58
9/11/2014,85.16
9/12/2014,83.99
9/15/2014,83.62
9/16/2014,83.78
9/17/2014,84.31
9/18/2014,85.66
9/19/2014,86.72
9/22/2014,85.52
9/23/2014,85.42
9/24/2014,86.69
9/25/2014,84.85
9/26/2014,86.05
9/29/2014,87.78
9/30/2014,87.65
10/1/2014,85.72
10/2/2014,84.52
10/3/2014,85.26
10/6/2014,84.66
10/7/2014,82.47
10/8/2014,83.8
10/9/2014,81.81
10/10/2014,80.17
10/13/2014,79.68
10/14/2014,79.39
10/15/2014,79.5
10/16/2014,78.64
10/17/2014,81.03
10/20/2014,81.04
10/21/2014,83.37
10/22/2014,81.96
10/23/2014,83.53
10/24/2014,84.96
10/27/2014,85.01
10/28/2014,86.33
10/29/2014,85.88
10/30/2014,86.83
10/31/2014,88.01
11/3/2014,88.34
11/4/2014,88.45
11/5/2014,88.73
11/6/2014,89.13
11/7/2014,88.81
11/10/2014,89.88
11/11/2014,90.71
11/12/2014,89.62
11/13/2014,90.44
11/14/2014,90.69
11/17/2014,90.93
11/18/2014,91.34
11/19/2014,91.42
11/20/2014,90.73
11/21/2014,91.72
11/24/2014,92.67
11/25/2014,92.66
11/26/2014,92.24
11/28/2014,93.87
12/1/2014,94.12
12/2/2014,93.33
12/3/2014,93.7
12/4/2014,93.87
12/5/2014,93.68
12/8/2014,93.36
12/9/2014,92.72
12/10/2014,92.56
12/11/2014,93.37
12/12/2014,92.17
12/15/2014,92.67
12/16/2014,92.11
12/17/2014,92.88
12/18/2014,94.48
12/19/2014,93.92
12/22/2014,94.69
12/23/2014,95.15
12/24/2014,94.59
12/26/2014,94.19
12/29/2014,93.76
12/30/2014,93.11
12/31/2014,92.19
1/2/2015,91.21
1/5/2015,90.85
1/6/2015,88.06
1/7/2015,88.67
1/8/2015,89.86
1/9/2015,87.97
1/12/2015,86.72
1/13/2015,86.31
1/14/2015,86.23
1/15/2015,85.08
1/16/2015,86.42
1/20/2015,87.42
1/21/2015,86.4
1/22/2015,88.79
1/23/2015,89.42
1/26/2015,89.36
1/27/2015,88.45
1/28/2015,87.5
1/29/2015,88.45
1/30/2015,86.82
2/2/2015,88.28
2/3/2015,90.5
2/4/2015,90.54
2/5/2015,91.71
2/6/2015,87.83
2/9/2015,87.84
2/10/2015,89.14
2/11/2015,88.79
2/12/2015,89.39
2/13/2015,90.25
2/17/2015,90.09
2/18/2015,89.76
2/19/2015,91.11
2/20/2015,96.72
2/23/2015,96.34
2/24/2015,97.38
2/25/2015,97.64
2/26/2015,97.68
2/27/2015,97.63
3/2/2015,98.68
3/3/2015,98
3/4/2015,97.45
3/5/2015,98.12
3/6/2015,97.41
3/9/2015,97.65
3/10/2015,95.39
3/11/2015,95.18
3/12/2015,96.68
3/13/2015,97.77
3/16/2015,99.38
3/17/2015,98.98
3/18/2015,99.93
3/19/2015,99.78
3/20/2015,100.43
3/23/2015,100.13
3/24/2015,99.7
3/25/2015,97.32
3/26/2015,96.95
3/27/2015,97.06
3/30/2015,98.23
3/31/2015,96.96
4/1/2015,97.68
4/2/2015,98.5
4/6/2015,97.85
4/7/2015,97.35
4/8/2015,97.92
4/9/2015,97.93
4/10/2015,98.89
4/13/2015,97.89
4/14/2015,97.88
4/15/2015,97.96
4/16/2015,97.39
4/17/2015,95.58
4/20/2015,96.65
4/21/2015,97.24
4/22/2015,100.16
4/23/2015,101.45
4/24/2015,101.23
4/27/2015,101.6
4/28/2015,101.65
4/29/2015,101.18
4/30/2015,100.33
5/1/2015,100.59
5/4/2015,101.29
5/5/2015,100.01
5/6/2015,99.54
5/7/2015,100.07
5/8/2015,102.75
5/11/2015,102.33
5/12/2015,102.26
